Date,TimeMinGroup,Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW),Time,yyyymmddhh,PS01_466990,PS02_466990,TX01_466990,TD01_466990,RH01_466990,WD01_466990,WD02_466990,WD07_466990,WD08_466990,PP01_466990,PP02_466990,SS01_466990,GR01_466990,UV01_466990,PS01_72250,PS02_72250,TX01_72250,TD01_72250,RH01_72250,WD01_72250,WD02_72250,WD07_72250,WD08_72250,PP01_72250,SS01_72250,GR01_72250,TS01_72250,TS02_72250,TS03_72250,TS04_72250,TS06_72250,TS07_72250,nearby,Lat,Lon,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,direction_南,direction_東,direction_東南,direction_西,direction_西北,direction_西南,floor_1,floor_3,floor_5,LocationCode_1,LocationCode_2,LocationCode_3,LocationCode_4,LocationCode_5,LocationCode_6,LocationCode_7,LocationCode_8,LocationCode_9,LocationCode_10,LocationCode_11,LocationCode_12,LocationCode_13,LocationCode_14,LocationCode_15,LocationCode_16,LocationCode_17
2024-05-23,09:00,1004.94,40.99,53.13,36054.663,211.01,9,2024052309,1008.1,1010.3,26.7,24.4,87,2.8,90.0,4.4,90.0,0.0,0.0,0.5,1.89,4.11,1006.4,1011.8,27.9,23.9,78.0,0.6,70.0,2.4,20.0,0.0,1.0,1.62,30.0,27.6,26.1,25.3,25.0,24.0,0,23.5358,121.324,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-23,09:10,1004.975,40.3,54.64,32718.916000000005,173.143,9,2024052309,1008.1,1010.3,26.7,24.4,87,2.8,90.0,4.4,90.0,0.0,0.0,0.5,1.89,4.11,1006.4,1011.8,27.9,23.9,78.0,0.6,70.0,2.4,20.0,0.0,1.0,1.62,30.0,27.6,26.1,25.3,25.0,24.0,0,23.5358,121.324,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-23,09:20,1005.051,38.36,56.64,32452.666000000005,182.845,9,2024052309,1008.1,1010.3,26.7,24.4,87,2.8,90.0,4.4,90.0,0.0,0.0,0.5,1.89,4.11,1006.4,1011.8,27.9,23.9,78.0,0.6,70.0,2.4,20.0,0.0,1.0,1.62,30.0,27.6,26.1,25.3,25.0,24.0,0,23.5358,121.324,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-23,09:30,1005.064,37.48,60.59,46537.37,368.048,9,2024052309,1008.1,1010.3,26.7,24.4,87,2.8,90.0,4.4,90.0,0.0,0.0,0.5,1.89,4.11,1006.4,1011.8,27.9,23.9,78.0,0.6,70.0,2.4,20.0,0.0,1.0,1.62,30.0,27.6,26.1,25.3,25.0,24.0,0,23.5358,121.324,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-23,09:40,1005.096,37.5,60.63,47125.743,385.123,9,2024052309,1008.1,1010.3,26.7,24.4,87,2.8,90.0,4.4,90.0,0.0,0.0,0.5,1.89,4.11,1006.4,1011.8,27.9,23.9,78.0,0.6,70.0,2.4,20.0,0.0,1.0,1.62,30.0,27.6,26.1,25.3,25.0,24.0,0,23.5358,121.324,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-23,09:50,1005.085,38.36,59.2,61395.085,607.38,9,2024052309,1008.1,1010.3,26.7,24.4,87,2.8,90.0,4.4,90.0,0.0,0.0,0.5,1.89,4.11,1006.4,1011.8,27.9,23.9,78.0,0.6,70.0,2.4,20.0,0.0,1.0,1.62,30.0,27.6,26.1,25.3,25.0,24.0,0,23.5358,121.324,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-23,10:00,1005.05,39.61,55.870000000000005,48744.903000000006,384.852,10,2024052310,1008.4,1010.6,27.9,24.6,82,2.1,60.0,4.7,80.0,0.0,0.0,0.0,1.8,5.61,1006.6,1012.0,28.2,24.1,78.0,1.9,60.0,4.0,50.0,0.0,1.0,1.29,30.0,27.8,26.5,25.4,25.0,24.0,0,23.5358,121.324,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-23,10:10,1005.005,38.14,57.28,45176.977,330.173,10,2024052310,1008.4,1010.6,27.9,24.6,82,2.1,60.0,4.7,80.0,0.0,0.0,0.0,1.8,5.61,1006.6,1012.0,28.2,24.1,78.0,1.9,60.0,4.0,50.0,0.0,1.0,1.29,30.0,27.8,26.5,25.4,25.0,24.0,0,23.5358,121.324,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-23,10:20,1005.027,36.5,61.720000000000006,45232.667,328.63800000000003,10,2024052310,1008.4,1010.6,27.9,24.6,82,2.1,60.0,4.7,80.0,0.0,0.0,0.0,1.8,5.61,1006.6,1012.0,28.2,24.1,78.0,1.9,60.0,4.0,50.0,0.0,1.0,1.29,30.0,27.8,26.5,25.4,25.0,24.0,0,23.5358,121.324,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-23,10:30,1004.973,36.92,61.21,49644.419,394.475,10,2024052310,1008.4,1010.6,27.9,24.6,82,2.1,60.0,4.7,80.0,0.0,0.0,0.0,1.8,5.61,1006.6,1012.0,28.2,24.1,78.0,1.9,60.0,4.0,50.0,0.0,1.0,1.29,30.0,27.8,26.5,25.4,25.0,24.0,0,23.5358,121.324,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
