Date,Time,LocationCode_1,LocationCode_2,LocationCode_3,LocationCode_4,LocationCode_5,LocationCode_6,LocationCode_7,LocationCode_8,LocationCode_9,LocationCode_10,LocationCode_11,LocationCode_12,LocationCode_13,LocationCode_14,LocationCode_15,LocationCode_16,LocationCode_17,Power_1,Power_2,Power_3,Power_4,Power_5,Power_6
2024-01-06,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1098.2913486986747,1209.3761273291777,1261.1540021122496,1587.9359427866234,1647.0540271005152,1680.137728059256
2024-01-06,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682.541120749997,1727.078983501902,1619.8258217135483,1753.9737635582214,1775.0908163842514,1444.705818456159
2024-01-06,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1525.4563588541832,1462.0742622618407,1453.3795841209578,1575.7089832150327,1191.5900309590581,1002.9887284793764
2024-01-06,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1226.3906146133345,1506.3819195471945,1665.8575349169046,1582.1829342378212,1410.2134680196884,1506.753257325643
2024-01-06,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1310.5167010650664,1199.1723811557629,930.5417244342491,1074.0788128472946,805.6417144567886,735.2543655288131
2024-01-06,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547.8260706187682,448.4144437934001,352.80372120290076,401.9333629883032,257.30497240537227,246.3226569383472
2024-01-06,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.0100697661896,100.04244945803232,16.03578802864299,30.795062851497114,45.410148413212134,37.18500881184689
2024-01-06,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.90797322163981,33.394650935565636,10.468557465313822,23.8473308445031,10.298369744457428,22.857899000676813
2024-01-11,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.7542720197823,142.14057258495555,109.94523602298622,114.13109237190761,111.69187693829966,110.48788343750485
2024-01-11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.95317346169455,208.02659637627215,158.24434972165406,143.60762698301858,122.6376372459351,198.3611350681981
2024-01-11,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375.0013473048547,484.8732385783154,405.18318636607546,496.7795147689106,522.0973760193293,571.724645005786
2024-01-11,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606.7249722296632,495.207334505362,442.13178052661885,396.4896255974395,543.8058002233271,546.4670613317328
2024-01-11,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.62806192992616,362.9849497211095,267.0064343610721,264.22825185683405,286.8715579965183,376.3690277657376
2024-01-11,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.56308180131697,103.50186943730822,43.866976034044505,18.587940840341105,37.49841643524849,58.26858726526357
2024-01-11,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.9400513847628,40.19355301758078,5.644346410752455,7.906290616927802,7.86532607960848,7.899355235529962
2024-01-11,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.10403262898768,5.090885819321487,-15.175567205446056,0.2362559812402163,32.55069173296403,10.769848938183568
2024-01-14,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.712735680210084,41.99536082872577,41.36326243575191,21.184400806877264,33.03921514901872,27.511193210002798
2024-01-15,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186.7265920492487,1224.2422337204862,1427.7709137827258,1644.1778323662888,1614.0413846034487,1770.9344727397108
2024-01-15,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1840.9431434571507,1885.355024890866,1767.2079445215652,1724.2377328996815,1626.0328575489104,1394.387996416679
2024-01-15,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1506.862204893407,1723.1211905175844,1422.2769976275465,1360.2854700235737,1096.8702866385004,798.0172060110324
2024-01-15,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748.2694405710153,1087.8632838269248,1211.8562756603706,919.594071319207,564.3860586312209,299.5463803022357
2024-01-15,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388.36762239843847,371.9398726844774,229.80742749246951,217.65763916623345,250.47655711024137,179.0925182220501
2024-01-17,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.54267836836094,224.95309638575017,260.17340288637536,165.706540313178,225.34038023273473,321.1650401785552
2024-01-17,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.75505274338983,210.20865030616005,154.32235698229377,204.96945200521523,201.93346951463263,216.82216317063887
