Date,Time,LocationCode_1,LocationCode_2,LocationCode_3,LocationCode_4,LocationCode_5,LocationCode_6,LocationCode_7,LocationCode_8,LocationCode_9,LocationCode_10,LocationCode_11,LocationCode_12,LocationCode_13,LocationCode_14,LocationCode_15,LocationCode_16,LocationCode_17,Power_1,Power_2,Power_3,Power_4,Power_5,Power_6
2024-01-06,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527.7331843533652,598.2647692700118,716.3103588945984,735.7697460444526,849.3335502764118,972.2107371045126
2024-01-06,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854.746798547726,891.7962986853629,1039.4463074267226,1014.431469184822,1060.974412686512,1028.3982694803265
2024-01-06,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016.1732844239916,1097.682035014946,1163.2121189960017,1130.0601580247833,1090.9327153818294,1037.977362766765
2024-01-06,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117.3253816374886,1039.9456533195435,1038.6725504545216,1039.3356957675874,968.2205991952021,802.0103103543851
2024-01-06,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835.881622119638,674.120792408744,780.7732112925563,509.50455501757506,553.4839097683158,478.3464370671245
2024-01-06,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.9471784467305,198.47993456095975,197.29034060039925,195.52223759692635,169.786098588467,151.07423319695266
2024-01-06,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.19407011510536,50.60668052639598,123.67086954185066,33.38000465653696,73.08480427961602,64.15951100972362
2024-01-06,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.512300100843845,18.40566871502264,85.97296787900245,-6.201465369688353,4.322626451948335,76.10029814576103
2024-01-11,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.22526829733383,253.33395810096437,176.8634377267617,176.79188712013428,205.11961553453605,251.1287117967282
2024-01-11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.1911157945643,332.5962790156828,243.41531553166223,256.2144641496145,256.00540666759593,318.7943623764094
2024-01-11,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379.92938737210676,487.14396463190764,364.7647965825909,287.6548044889288,383.59085542128764,486.6667992122465
2024-01-11,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.4787978047599,490.33572897203186,318.31693727685706,288.3039545006824,233.93619133103016,370.81963624281235
2024-01-11,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.0652096616794,327.2120838663832,272.3520392357372,211.11124510196106,239.71129097026574,263.5792479309673
2024-01-11,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.17243288179229,162.49383385041668,152.66512538168053,64.65329923813427,95.45640211495187,96.43379958276532
2024-01-11,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.14396679394412,128.9598209548254,113.89091356769576,46.252379362870045,77.42758222730775,162.92486337253354
2024-01-11,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0658204842534,161.35398223519226,109.71661366060924,44.95027839679658,106.38613489243983,107.92551166880271
2024-01-14,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.57456565291545,200.28933273221887,167.54775310386486,96.43272263899979,160.58874229480958,122.72727072086877
2024-01-15,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579.6898007594075,624.3325678380053,756.3308952464511,776.0788417830106,899.9464952607761,1008.4085178660727
2024-01-15,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,927.3864831632621,957.9236202829601,998.9083126088641,900.8732360736497,939.3825751421303,965.5239211906342
2024-01-15,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1022.0951594746422,961.4870834434004,1082.9534423455486,957.1826231816055,835.5692381776878,931.3573162899642
2024-01-15,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.13320597677455,475.7194167604169,396.102104781138,312.41332148875534,415.34598681903765,393.2660811737667
2024-01-15,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335.32693673975524,307.74499307299277,280.0903824060337,290.77206225026356,312.0356973579767,311.73433972760137
2024-01-17,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.71261923720371,131.5054830059668,129.9774189102526,124.61477168247717,233.44391169168935,283.66810376402503
2024-01-17,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.0815599570042,181.10174046548886,154.95886593972793,159.10592059084146,150.32665604208253,116.03421287448002
2024-01-17,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260.43157035047324,248.40236006403063,243.00284336985897,191.19131537346377,213.9544092135727,278.4745644845053
2024-01-17,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272.7332463671036,210.5687860207573,195.02283041065286,117.20905526834004,164.24075362692417,199.16737475006823
2024-01-17,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.5975708731909,225.9904393868777,263.86658010995035,185.4761060362276,290.2306098226308,327.1053576710497
2024-01-17,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375.52105618507494,376.5178940124842,288.5700314405996,361.53210632523036,335.6439212601814,445.25194733052507
2024-01-17,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.84746601077924,247.9423924875737,224.99688451753627,151.3909908421201,167.09430810685535,185.32339859938548
2024-01-17,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.44401646539254,182.97815651245338,156.5512590466182,88.31025549502381,171.63796451623284,126.07745423282135
2024-01-19,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.41350749155734,226.49929434527988,362.90081214071586,341.8747204991561,513.4912771303465,623.4590807812932
2024-01-19,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399.4281946904323,505.60684320300345,462.08000429052026,481.5484062074627,637.0874336842448,709.3424085464476
2024-01-19,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632.1481436776467,672.1108984912487,711.3866467303747,564.7132945418316,631.6201606411894,721.2169561239392
2024-01-19,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656.0754561681497,597.7748624348594,593.2172925942222,455.4019671520866,512.2359583982217,551.5533158289246
2024-01-19,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425.51366397421015,379.4307872425048,384.10619970288616,301.8556110013079,335.9654367723642,312.128688029703
2024-01-19,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.0918349526636,190.20573889763702,246.271688140144,158.47725291717563,144.3683832921437,161.18481107745626
2024-01-19,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.43948342087728,129.01134626038552,179.36240882570553,83.5687075886359,69.4416306677298,141.74703281372632
2024-01-19,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.9613789970396,125.98888722430169,103.40207933809432,59.2505027602677,18.88323540574297,47.79170172139888
2024-02-08,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.26619787914135,128.87983978333818,226.0014884925636,139.9812817250285,232.8458495986359,287.92561647953966
2024-02-08,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275.577780637906,305.80144425980734,378.2607962751671,353.1408371973671,524.4417792994526,615.5921863709569
2024-02-08,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311.97799217096446,203.0288786272914,133.96550410906005,130.28521452976753,124.94641799682293,228.96625081038198
2024-02-13,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539.9344918856364,679.0208204780221,790.121940688532,824.9855652537617,957.3676175916439,1081.293743206892
2024-02-13,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1036.634956865311,1126.326299938237,1231.2461814380297,1279.562631154219,1151.1349441600314,1134.048009868294
